miRNA;Target
hsa-miR-15a-5p;BCL2
hsa-miR-15a-5p;WT1
hsa-miR-15a-5p;ASXL2
hsa-miR-15a-5p;TMEM251
hsa-miR-15a-5p;CARD8
hsa-miR-15a-5p;CDC14B
hsa-miR-15a-5p;CENPJ
hsa-miR-15a-5p;CEP63
hsa-miR-15a-5p;CREBL2
hsa-miR-15a-5p;ECHDC1
hsa-miR-15a-5p;GOLGA5
hsa-miR-15a-5p;GOLPH3L
hsa-miR-15a-5p;GTF2H1
hsa-miR-15a-5p;H3F3B
hsa-miR-15a-5p;HACE1
hsa-miR-15a-5p;HDHD2
hsa-miR-15a-5p;HERC6
hsa-miR-15a-5p;HRSP12
hsa-miR-15a-5p;HSDL2
hsa-miR-15a-5p;HSPA1A
hsa-miR-15a-5p;JUN
hsa-miR-15a-5p;MCL1
hsa-miR-15a-5p;MSH2
hsa-miR-15a-5p;OMA1
hsa-miR-15a-5p;OSGEPL1
hsa-miR-15a-5p;PDCD6IP
hsa-miR-15a-5p;PHKB
hsa-miR-15a-5p;PMS1
hsa-miR-15a-5p;PNN
hsa-miR-15a-5p;PRIM1
hsa-miR-15a-5p;RAD51C
hsa-miR-15a-5p;RHOT1
hsa-miR-15a-5p;RNASEL
hsa-miR-15a-5p;SLC35A1
hsa-miR-15a-5p;SLC35B3
hsa-miR-15a-5p;TIA1
hsa-miR-15a-5p;UGDH
hsa-miR-15a-5p;UGP2
hsa-miR-15a-5p;ZNF559
hsa-miR-15a-5p;CCND1
hsa-miR-15a-5p;CCNE1
hsa-miR-15a-5p;BACE1
hsa-miR-15a-5p;MN1
hsa-miR-15a-5p;CRKL
hsa-miR-15a-5p;CLCN3
hsa-miR-15a-5p;DMTF1
hsa-miR-15a-5p;BRCA1
hsa-miR-15a-5p;AKT3
hsa-miR-15a-5p;FGF7
hsa-miR-15a-5p;WIPF1
hsa-miR-15a-5p;VPS45
hsa-miR-15a-5p;HSP90B1
hsa-miR-15a-5p;SKAP2
hsa-miR-15a-5p;NT5DC1
hsa-miR-15a-5p;FAM69A
hsa-miR-15a-5p;C2orf74
hsa-miR-15a-5p;FAM122C
hsa-miR-15a-5p;PWWP2A
hsa-miR-15a-5p;C17orf80
hsa-miR-15a-5p;CCDC111
hsa-miR-15a-5p;C2orf43
hsa-miR-15a-5p;C4orf27
hsa-miR-15a-5p;NIPAL2
hsa-miR-15a-5p;TRMT13
hsa-miR-15a-5p;ANAPC16
hsa-miR-15a-5p;CADM1
hsa-miR-15a-5p;TMEM184B
hsa-miR-15a-5p;APP
hsa-miR-15a-5p;UCP2
hsa-miR-15a-5p;VEGFA
hsa-miR-15a-5p;TSPYL2
hsa-miR-15a-5p;NFKB1
hsa-miR-15a-5p;CHUK
hsa-miR-15a-5p;TP53
hsa-miR-15a-5p;Ccnd1
hsa-miR-15a-5p;HMGA1
hsa-miR-15a-5p;HMGA2
hsa-miR-15a-5p;IFNG
hsa-miR-15a-5p;PURA
hsa-miR-15a-5p;RECK
hsa-miR-15a-5p;DLK1
hsa-miR-15a-5p;PLA2G2D
hsa-miR-15a-5p;ACVR1B
hsa-miR-15a-5p;IKBKG
hsa-miR-15a-5p;GCLM
hsa-miR-15a-5p;PCF11
hsa-miR-15a-5p;HIST1H2BK
hsa-miR-15a-5p;ODC1
hsa-miR-15a-5p;CALD1
hsa-miR-15a-5p;RPP30
hsa-miR-15a-5p;ASNSD1
hsa-miR-15a-5p;CCNYL1
hsa-miR-15a-5p;RGPD5
hsa-miR-15a-5p;PREB
hsa-miR-15a-5p;PDHX
hsa-miR-15a-5p;SNX6
hsa-miR-15a-5p;CNN3
hsa-miR-15a-5p;KIF1A
hsa-miR-15a-5p;NAB1
hsa-miR-15a-5p;CCT6B
hsa-miR-15a-5p;CHD4
hsa-miR-15a-5p;CLCC1
hsa-miR-15a-5p;GDI2
hsa-miR-15a-5p;BRWD1
hsa-miR-15a-5p;MAPK6
hsa-miR-15a-5p;PSMC4
hsa-miR-15a-5p;ATF2
hsa-miR-15a-5p;ATP6AP1
hsa-miR-15a-5p;FBXO3
hsa-miR-15a-5p;PRDX3
hsa-miR-15a-5p;CABIN1
hsa-miR-15a-5p;FASN
hsa-miR-15a-5p;SEC63
hsa-miR-15a-5p;PTAR1
hsa-miR-15a-5p;DSTYK
hsa-miR-15a-5p;FOXO1
hsa-miR-15a-5p;TMEM214
hsa-miR-15a-5p;TRIM28
hsa-miR-15a-5p;NOP2
hsa-miR-15a-5p;MYBL1
hsa-miR-15a-5p;TTC1
hsa-miR-15a-5p;BTRC
hsa-miR-15a-5p;REPIN1
hsa-miR-15a-5p;KLF4
hsa-miR-15a-5p;YAP1
hsa-miR-15a-5p;CARM1
hsa-miR-15a-5p;SOX5
hsa-miR-15a-5p;SHOC2
hsa-miR-15a-5p;PLEKHA1
hsa-miR-15a-5p;CEP55
hsa-miR-15a-5p;ZDHHC16
hsa-miR-15a-5p;STXBP3
hsa-miR-15a-5p;C1ORF21
hsa-miR-15a-5p;AMOTL1
hsa-miR-15a-5p;BTG2
hsa-miR-15a-5p;ETNK1
hsa-miR-15a-5p;TARBP2
hsa-miR-15a-5p;MTFR1L
hsa-miR-15a-5p;USP15
hsa-miR-15a-5p;AKAP11
hsa-miR-15a-5p;FCF1
hsa-miR-15a-5p;ARIH1
hsa-miR-15a-5p;PAGR1
hsa-miR-15a-5p;SNTB2
hsa-miR-15a-5p;VPS4A
hsa-miR-15a-5p;C16ORF72
hsa-miR-15a-5p;GOSR1
hsa-miR-15a-5p;MINK1
hsa-miR-15a-5p;RPS6KB1
hsa-miR-15a-5p;NAPG
hsa-miR-15a-5p;GALNT1
hsa-miR-15a-5p;PNPLA6
hsa-miR-15a-5p;ZCCHC3
hsa-miR-15a-5p;SOWAHC
hsa-miR-15a-5p;CCNT2
hsa-miR-15a-5p;UBR3
hsa-miR-15a-5p;ZNRF3
hsa-miR-15a-5p;YWHAH
hsa-miR-15a-5p;SEPT2
hsa-miR-15a-5p;B3GNT2
hsa-miR-15a-5p;ACTR2
hsa-miR-15a-5p;CDV3
hsa-miR-15a-5p;U2SURP
hsa-miR-15a-5p;RARB
hsa-miR-15a-5p;ITPR1
hsa-miR-15a-5p;BHLHE40
hsa-miR-15a-5p;PI4K2B
hsa-miR-15a-5p;CANX
hsa-miR-15a-5p;PCMT1
hsa-miR-15a-5p;E2F3
hsa-miR-15a-5p;PPP1R11
hsa-miR-15a-5p;HSPA1B
hsa-miR-15a-5p;PIM1
hsa-miR-15a-5p;CD2AP
hsa-miR-15a-5p;CALU
hsa-miR-15a-5p;UBN2
hsa-miR-15a-5p;EN2
hsa-miR-15a-5p;MAFK
hsa-miR-15a-5p;FOXK1
hsa-miR-15a-5p;USP42
hsa-miR-15a-5p;ZFHX4
hsa-miR-15a-5p;RAD23B
hsa-miR-15a-5p;ZBTB34
hsa-miR-15a-5p;SLC9A6
hsa-miR-15a-5p;ZNF275
hsa-miR-15a-5p;OGT
hsa-miR-15a-5p;LUZP1
hsa-miR-15a-5p;CHAC1
hsa-miR-15a-5p;SCAMP4
hsa-miR-15a-5p;PAK2
hsa-miR-15a-5p;ENTPD1
hsa-miR-15a-5p;UBE4A
hsa-miR-15a-5p;ARCN1
hsa-miR-15a-5p;PTPRJ
hsa-miR-15a-5p;TMEM138
hsa-miR-15a-5p;RASSF5
hsa-miR-15a-5p;MAPKAPK2
hsa-miR-15a-5p;BCL7A
hsa-miR-15a-5p;SKI
hsa-miR-15a-5p;RCOR1
hsa-miR-15a-5p;SPRED1
hsa-miR-15a-5p;SMAD3
hsa-miR-15a-5p;SCAMP5
hsa-miR-15a-5p;UBE2Q2
hsa-miR-15a-5p;DCTN5
hsa-miR-15a-5p;PSKH1
hsa-miR-15a-5p;ANKRD13B
hsa-miR-15a-5p;EZH1
hsa-miR-15a-5p;PNPO
hsa-miR-15a-5p;SNX11
hsa-miR-15a-5p;RNF138
hsa-miR-15a-5p;IER2
hsa-miR-15a-5p;TNFSF9
hsa-miR-15a-5p;ENTPD6
hsa-miR-15a-5p;KIF3B
hsa-miR-15a-5p;NOL4L
hsa-miR-15a-5p;RASSF2
hsa-miR-15a-5p;CDS2
hsa-miR-15a-5p;ATP5G3
hsa-miR-15a-5p;TNRC6B
hsa-miR-15a-5p;EPT1
hsa-miR-15a-5p;PEX13
hsa-miR-15a-5p;TET3
hsa-miR-15a-5p;PRKCD
hsa-miR-15a-5p;CPEB2
hsa-miR-15a-5p;TADA2B
hsa-miR-15a-5p;GRAMD3
hsa-miR-15a-5p;CREBRF
hsa-miR-15a-5p;CDKN1A
hsa-miR-15a-5p;IRF4
hsa-miR-15a-5p;KLHDC10
hsa-miR-15a-5p;UBE3C
hsa-miR-15a-5p;SUN1
hsa-miR-15a-5p;HMBOX1
hsa-miR-15a-5p;RNF38
hsa-miR-15a-5p;PSAT1
hsa-miR-15a-5p;ZBTB33
hsa-miR-15a-5p;PAFAH1B2
hsa-miR-15a-5p;RPRD2
hsa-miR-15a-5p;PNRC2
hsa-miR-15a-5p;CDADC1
hsa-miR-15a-5p;AGO4
hsa-miR-15a-5p;GPR180
hsa-miR-15a-5p;PPM1A
hsa-miR-15a-5p;SLC39A9
hsa-miR-15a-5p;FAM103A1
hsa-miR-15a-5p;RBBP6
hsa-miR-15a-5p;PAFAH1B1
hsa-miR-15a-5p;TAOK1
hsa-miR-15a-5p;SNRPB2
hsa-miR-15a-5p;HSPE1-MOB4
hsa-miR-15a-5p;MOB4
hsa-miR-15a-5p;BZW1
hsa-miR-15a-5p;NUP50
hsa-miR-15a-5p;FGF2
hsa-miR-15a-5p;HSPA4L
hsa-miR-15a-5p;RBPJ
hsa-miR-15a-5p;TBPL1
hsa-miR-15a-5p;FZD6
hsa-miR-15a-5p;BAG4
hsa-miR-15a-5p;ZNF449
hsa-miR-15a-5p;YIPF6
hsa-miR-15a-5p;DDX3Y
hsa-miR-15a-5p;MSL1
hsa-miR-15a-5p;ENTPD7
hsa-miR-15a-5p;PRRC2C
hsa-miR-15a-5p;WEE1
hsa-miR-15a-5p;ELK4
hsa-miR-15a-5p;GABARAPL1
hsa-miR-15a-5p;PDIK1L
hsa-miR-15a-5p;ATXN7L3B
hsa-miR-15a-5p;ZNF691
hsa-miR-15a-5p;DYNLL2
hsa-miR-15a-5p;SRPRB
hsa-miR-15a-5p;CDC42SE2
hsa-miR-15a-5p;WIPI2
hsa-miR-15a-5p;TBRG1
hsa-miR-15a-5p;CHEK1
hsa-miR-15a-5p;TMEM109
hsa-miR-15a-5p;C1ORF226
hsa-miR-15a-5p;SIRT4
hsa-miR-15a-5p;SETD1B
hsa-miR-15a-5p;HOXC8
hsa-miR-15a-5p;RAB3IP
hsa-miR-15a-5p;PPP2R5C
hsa-miR-15a-5p;SLCO3A1
hsa-miR-15a-5p;MLLT6
hsa-miR-15a-5p;CBX2
hsa-miR-15a-5p;ZFP28
hsa-miR-15a-5p;CHMP4B
hsa-miR-15a-5p;GABPA
hsa-miR-15a-5p;STRADB
hsa-miR-15a-5p;MTMR3
hsa-miR-15a-5p;CRIM1
hsa-miR-15a-5p;SOCS5
hsa-miR-15a-5p;CTDSPL
hsa-miR-15a-5p;ITGA2
hsa-miR-15a-5p;PIK3R1
hsa-miR-15a-5p;PPIL1
hsa-miR-15a-5p;CAPZA2
hsa-miR-15a-5p;ZNRF2
hsa-miR-15a-5p;IFT74
hsa-miR-15a-5p;OCRL
hsa-miR-15a-5p;CHIC1
hsa-miR-15a-5p;KLF6
hsa-miR-15a-5p;PHLPP1
hsa-miR-15a-5p;RET
hsa-miR-15a-5p;SIDT2
hsa-miR-15a-5p;ASCC1
hsa-miR-15a-5p;DMRT2
hsa-miR-15a-5p;TLL1
hsa-miR-15a-5p;LUC7L3
hsa-miR-15a-5p;ALDH3B1
hsa-miR-15a-5p;EFTUD2
hsa-miR-15a-5p;CSNK1E
hsa-miR-15a-5p;TPM2
hsa-miR-15a-5p;ZNF460
hsa-miR-15a-5p;FGFR4
hsa-miR-15a-5p;DOCK11
hsa-miR-15a-5p;ACTR3B
hsa-miR-15a-5p;ZNF367
hsa-miR-15a-5p;UBE2V1
hsa-miR-15a-5p;UBE2Q1
hsa-miR-15a-5p;TSC22D2
hsa-miR-15a-5p;TOB2
hsa-miR-15a-5p;TMEM189-UBE2V1
hsa-miR-15a-5p;TMEM189
hsa-miR-15a-5p;TM4SF1
hsa-miR-15a-5p;TFAP2A
hsa-miR-15a-5p;STK38
hsa-miR-15a-5p;SSRP1
hsa-miR-15a-5p;SIK1
hsa-miR-15a-5p;SH3BP4
hsa-miR-15a-5p;SEC24A
hsa-miR-15a-5p;RNF168
hsa-miR-15a-5p;REL
hsa-miR-15a-5p;PISD
hsa-miR-15a-5p;PDE4D
hsa-miR-15a-5p;NR6A1
hsa-miR-15a-5p;NFIC
hsa-miR-15a-5p;NAA25
hsa-miR-15a-5p;LAMC1
hsa-miR-15a-5p;KIAA0226
hsa-miR-15a-5p;IVNS1ABP
hsa-miR-15a-5p;IPPK
hsa-miR-15a-5p;HOXA3
hsa-miR-15a-5p;HEYL
hsa-miR-15a-5p;HDGF
hsa-miR-15a-5p;GNB1
hsa-miR-15a-5p;GNAL
hsa-miR-15a-5p;FURIN
hsa-miR-15a-5p;EIF1AX
hsa-miR-15a-5p;DYRK3
hsa-miR-15a-5p;CPSF7
hsa-miR-15a-5p;CDK6
hsa-miR-15a-5p;CARD10
hsa-miR-15a-5p;AVL9
hsa-miR-15a-5p;AGO2
hsa-miR-15a-5p;ABL2
hsa-miR-15a-5p;ABHD2
hsa-miR-15a-5p;ABCC6
hsa-miR-15a-5p;PRKAR2A
hsa-miR-15a-5p;C10orf54
hsa-miR-15a-5p;PHYHIP
hsa-miR-15a-5p;CASKIN1
hsa-miR-15a-5p;ZNRF1
hsa-miR-15a-5p;CD180
hsa-miR-15a-5p;KIAA0895
hsa-miR-15a-5p;ORC4
hsa-miR-15a-5p;ODF2L
hsa-miR-15a-5p;DNAJA1
hsa-miR-15a-5p;L2HGDH
hsa-miR-15a-5p;ZNF622
hsa-miR-15a-5p;ZMAT3
hsa-miR-15a-5p;USP53
hsa-miR-15a-5p;SYPL1
hsa-miR-15a-5p;SRPR
hsa-miR-15a-5p;SREK1
hsa-miR-15a-5p;SMAD7
hsa-miR-15a-5p;PRICKLE2
hsa-miR-15a-5p;LRIG2
hsa-miR-15a-5p;KIF5B
hsa-miR-15a-5p;FAM122B
hsa-miR-15a-5p;E2F7
hsa-miR-15a-5p;DDX3X
hsa-miR-15a-5p;CDCA4
hsa-miR-15a-5p;CDC37L1
hsa-miR-15a-5p;ATG9A
hsa-miR-15a-5p;ASGR2
hsa-miR-15a-5p;ZNF620
hsa-miR-15a-5p;HAUS3
hsa-miR-15a-5p;YTHDC1
hsa-miR-15a-5p;TMEM245
hsa-miR-15a-5p;TMEM100
hsa-miR-15a-5p;SRSF1
hsa-miR-15a-5p;SNX16
hsa-miR-15a-5p;SESTD1
hsa-miR-15a-5p;RIMS3
hsa-miR-15a-5p;RCAN3
hsa-miR-15a-5p;PPIG
hsa-miR-15a-5p;PLRG1
hsa-miR-15a-5p;PLAG1
hsa-miR-15a-5p;PHKA1
hsa-miR-15a-5p;MYO5A
hsa-miR-15a-5p;KIF23
hsa-miR-15a-5p;HNRNPDL
hsa-miR-15a-5p;CDK1
hsa-miR-15a-5p;CCNE2
hsa-miR-15a-5p;CBX6
hsa-miR-15a-5p;AXIN2
hsa-miR-15a-5p;CASK
hsa-miR-15a-5p;DMPK
hsa-miR-15a-5p;ATAD5
hsa-miR-15a-5p;AKR1B10
hsa-miR-15a-5p;GPATCH8
hsa-miR-15a-5p;ARHGDIA
hsa-miR-15a-5p;CPEB3
hsa-miR-15a-5p;JARID2
hsa-miR-15a-5p;CAMSAP1
hsa-miR-15a-5p;ATG14
hsa-miR-15a-5p;TRIM35
hsa-miR-15a-5p;FLCN
hsa-miR-15a-5p;NNT
hsa-miR-15a-5p;SLC2A3
hsa-miR-15a-5p;SBNO1
hsa-miR-15a-5p;POM121C
hsa-miR-15a-5p;NUFIP2
hsa-miR-15a-5p;LAMP2
hsa-miR-15a-5p;EFNB2
hsa-miR-15a-5p;RPL14
hsa-miR-15a-5p;GNAT1
hsa-miR-15a-5p;HOXA10
hsa-miR-15a-5p;CBX4
hsa-miR-15a-5p;PHC3
hsa-miR-15a-5p;PDCD1
hsa-miR-15a-5p;BAZ2A
hsa-miR-15a-5p;ZNF585B
hsa-miR-15a-5p;ANAPC13
hsa-miR-15a-5p;PRSS21
hsa-miR-15a-5p;RALGAPB
hsa-miR-15a-5p;GSG1
hsa-miR-15a-5p;POLDIP3
hsa-miR-15a-5p;AP5Z1
hsa-miR-15a-5p;CLSPN
hsa-miR-15a-5p;UGT2B4
hsa-miR-15a-5p;MAP4K2
hsa-miR-15a-5p;CCDC83
hsa-miR-15a-5p;DECR1
hsa-miR-15a-5p;ZBTB10
hsa-miR-15a-5p;YWHAQ
hsa-miR-15a-5p;USP48
hsa-miR-15a-5p;SALL1
hsa-miR-15a-5p;RUNX1T1
hsa-miR-15a-5p;RTN4
hsa-miR-15a-5p;PNISR
hsa-miR-15a-5p;PHLPP2
hsa-miR-15a-5p;PAG1
hsa-miR-15a-5p;NUCKS1
hsa-miR-15a-5p;MKX
hsa-miR-15a-5p;MBD4
hsa-miR-15a-5p;LRRFIP2
hsa-miR-15a-5p;KPNA3
hsa-miR-15a-5p;KPNA1
hsa-miR-15a-5p;HIGD1A
hsa-miR-15a-5p;HCFC2
hsa-miR-15a-5p;GRB2
hsa-miR-15a-5p;FKBP1A
hsa-miR-15a-5p;FBXL20
hsa-miR-15a-5p;CRK
hsa-miR-15a-5p;CLIP4
hsa-miR-15a-5p;CDK17
hsa-miR-15a-5p;CACUL1
hsa-miR-15a-5p;C11orf24
hsa-miR-15a-5p;ASH1L
hsa-miR-15a-5p;AMOT
hsa-miR-15a-5p;SLC29A1
hsa-miR-15a-5p;OSCAR
hsa-miR-15a-5p;MTHFR
hsa-miR-15a-5p;FAM229B
hsa-miR-15a-5p;EPM2AIP1
hsa-miR-15a-5p;ZNF267
hsa-miR-15a-5p;SSU72
hsa-miR-15a-5p;DNAJC10
hsa-miR-15a-5p;ZNF704
hsa-miR-15a-5p;YRDC
hsa-miR-15a-5p;TPM3
hsa-miR-15a-5p;TMEM161B
hsa-miR-15a-5p;TM7SF3
hsa-miR-15a-5p;TAF13
hsa-miR-15a-5p;SZRD1
hsa-miR-15a-5p;RNF149
hsa-miR-15a-5p;RACGAP1
hsa-miR-15a-5p;RAB23
hsa-miR-15a-5p;PTPRD
hsa-miR-15a-5p;PRKAA1
hsa-miR-15a-5p;PRDM4
hsa-miR-15a-5p;PPAP2B
hsa-miR-15a-5p;LURAP1L
hsa-miR-15a-5p;KANK1
hsa-miR-15a-5p;HIST2H2BE
hsa-miR-15a-5p;GPR27
hsa-miR-15a-5p;EXT1
hsa-miR-15a-5p;CYP26B1
hsa-miR-15a-5p;CNKSR3
hsa-miR-15a-5p;CA8
hsa-miR-15a-5p;BTN3A3
hsa-miR-15a-5p;ARHGAP12
hsa-miR-15a-5p;OSBPL3
hsa-miR-15a-5p;KRT33B
hsa-miR-15a-5p;TUBB2A
hsa-miR-15a-5p;MSANTD4
hsa-miR-15a-5p;LANCL1
hsa-miR-15a-5p;HNRNPA2B1
hsa-miR-15a-5p;KIAA1456
hsa-miR-15a-5p;SLC25A12
hsa-miR-15a-5p;DLGAP3
hsa-miR-15a-5p;THRAP3
hsa-miR-15a-5p;SMDT1
hsa-miR-15a-5p;RAPH1
hsa-miR-15a-5p;CCNT1
hsa-miR-15a-5p;ZNF391
hsa-miR-15a-5p;CCDC80
hsa-miR-15a-5p;ZBTB16
hsa-miR-15a-5p;XKR7
hsa-miR-15a-5p;WNK3
hsa-miR-15a-5p;VAV2
hsa-miR-15a-5p;TGFBR3
hsa-miR-15a-5p;RASEF
hsa-miR-15a-5p;NCKAP1
hsa-miR-15a-5p;MAP3K7
hsa-miR-15a-5p;KLHL15
hsa-miR-15a-5p;GNG12
hsa-miR-15a-5p;FZD9
hsa-miR-15a-5p;CMTM4
hsa-miR-15a-5p;CCDC88C
hsa-miR-15a-5p;ARMC12
hsa-miR-15a-5p;AHNAK2
hsa-miR-15a-5p;ACVR2A
hsa-miR-15a-5p;TLK1
hsa-miR-15a-5p;UBE2H
hsa-miR-15a-5p;TTLL5
hsa-miR-15a-5p;RIF1
hsa-miR-15a-5p;SERBP1
hsa-miR-15a-5p;PHF19
hsa-miR-15a-5p;LSM11
hsa-miR-15a-5p;PROSC
hsa-miR-15a-5p;CLEC2D
hsa-miR-15a-5p;PDIA6
hsa-miR-15a-5p;N4BP1
hsa-miR-15a-5p;Cask
hsa-miR-15a-5p;Dmpk
hsa-miR-15a-5p;Pdcd1
hsa-miR-15a-5p;Npepps
hsa-miR-15a-5p;TRAK1
hsa-miR-15a-5p;ADRA2B
hsa-miR-15a-5p;ANKMY1
hsa-miR-15a-5p;GPRC5A
hsa-miR-15a-5p;C3orf36
hsa-miR-15a-5p;BSPRY
hsa-miR-15a-5p;ANKRD36
hsa-miR-15a-5p;KLHL40
hsa-miR-15a-5p;NOTCH2
hsa-miR-15a-5p;EIF2B2
hsa-miR-15a-5p;CUL3
hsa-miR-15a-5p;DCAF17
hsa-miR-15a-5p;RS1
hsa-miR-15a-5p;GLP2R
hsa-miR-15a-5p;FLOT2
hsa-miR-15a-5p;HNRNPA1L2
hsa-miR-15a-5p;NEGR1
hsa-miR-15a-5p;MCFD2
hsa-miR-15a-5p;HNRNPA1
hsa-miR-15a-5p;SLC35E2B
hsa-miR-15a-5p;ARHGAP32
hsa-miR-15a-5p;RAB15
hsa-miR-15a-5p;ADORA3
hsa-miR-15a-5p;PPIP5K2
hsa-miR-15a-5p;SYNRG
hsa-miR-15a-5p;ZNF91
hsa-miR-15a-5p;ZBTB5
hsa-miR-15a-5p;VPS33B
hsa-miR-15a-5p;CHMP3
hsa-miR-15a-5p;VCL
hsa-miR-15a-5p;USP3
hsa-miR-15a-5p;USP31
hsa-miR-15a-5p;TUBB
hsa-miR-15a-5p;TRAM1
hsa-miR-15a-5p;TMEM69
hsa-miR-15a-5p;TMEM55B
hsa-miR-15a-5p;TMEM135
hsa-miR-15a-5p;TLE4
hsa-miR-15a-5p;TKTL1
hsa-miR-15a-5p;TIMM13
hsa-miR-15a-5p;TFB1M
hsa-miR-15a-5p;TCF3
hsa-miR-15a-5p;TBL1XR1
hsa-miR-15a-5p;TBCCD1
hsa-miR-15a-5p;TBC1D20
hsa-miR-15a-5p;TBC1D14
hsa-miR-15a-5p;TASP1
hsa-miR-15a-5p;SUPT16H
hsa-miR-15a-5p;STX17
hsa-miR-15a-5p;SRPK1
hsa-miR-15a-5p;SPTLC1
hsa-miR-15a-5p;SMURF1
hsa-miR-15a-5p;SLC9A1
hsa-miR-15a-5p;SLC7A5
hsa-miR-15a-5p;SLC25A29
hsa-miR-15a-5p;SLC25A22
hsa-miR-15a-5p;RPS6KA3
hsa-miR-15a-5p;RPS5
hsa-miR-15a-5p;RPL36
hsa-miR-15a-5p;RNPS1
hsa-miR-15a-5p;RNMT
hsa-miR-15a-5p;RNH1
hsa-miR-15a-5p;RFWD2
hsa-miR-15a-5p;REXO1
hsa-miR-15a-5p;RELT
hsa-miR-15a-5p;RAP2C
hsa-miR-15a-5p;RAB40B
hsa-miR-15a-5p;RAB11FIP2
hsa-miR-15a-5p;PSMB5
hsa-miR-15a-5p;PPP6C
hsa-miR-15a-5p;POU2AF1
hsa-miR-15a-5p;POLE4
hsa-miR-15a-5p;PGD
hsa-miR-15a-5p;PEX12
hsa-miR-15a-5p;PANK1
hsa-miR-15a-5p;TM9SF2
hsa-miR-15a-5p;OTUB1
hsa-miR-15a-5p;NR2C2
